tweet,class
  goldiemack shit  man hoe fine amp crazi,0
 smoke good weed bad ,0
 name someth  cav,1
 cant bitch live say brought michael  need guy like ,0
 bad bitch  go   ,0
 hope futur wife ever might sleep studi instead hoe right  nigga shutcho asss,0
 im sorri offend call bitch honest thought ,0
 lmao lexi hoe  lmfaooo,0
 eat pussi nd look like  ,0
 fml  period  cant pop pussi huh,0
 gtgt homecom  day ltlt bet u didnt even date bitch went say corner,0
 hate girl tho wish bitch  song go,0
  bout get breast reduct bitch  ,0
 bring anotha bitch nah ,0
 golden oreo  regular oreo  yes,1
 oreo basic dirt circl  true,1
 damn bitch alway get hit hottest guy n make feel stupid  got call ego kill,0
 whatevaittak lmao mind well hoe  aint mean like girl lol,0
 whatevaittak lmao definit  bout say dont front bitch shit freeway,0
 whatevaittak bitch hurri  hungri cant ,0
 whatevaittak ohhhhh yes bitch  readi ,0
 whatevaittak woke bitch  wasnt angri wit ,0
 ima show ass tonight feel  think shit ,0
 lot women claim yellow actual red color blind mother  im yellow tho ,0
 j cole trash ive say year fuck  lol,0
 elisabethepp rate  depend still wear color contact naw,1
 bout ride hors come fuck yo   em tho,0
  dontgetgrandho yall hoe go learn  ,0
  coolin nig    uhhe  iceom laugh,0
 yeah play yeah got want joke daddi bitch ,0
 honesti ask  ugli hoe,0
 bouta let banko kno im goin ronneagl  ,0
  hoe feel like photo didnt get enough favorit  that  thirsti ass,0
 done w fuck nigga  snip snip hoe  stfu,0
  bol call girl  coo im tho ,0
 idpetit wow put whole manifesto use twitlong canadian hey hoserhow mani adopt,0
 kit kat browni  make,1
 bruh rt priscocb trent took yellow path ,1
 simplysoul thought jay z would hit  yeah known sockin bitch ,0
 bluntsnextdoor good pussi nigga like  funniest thing ive ever seen tl ,0
 yall fuckin trash yo   man nigga gonna win skin trash,0
 global ambassador someth put ppl  des nut hoe ahh nigga,0
 boutta walk ,0
 amp bitch bound get hurt caus lotta nigga  yeah,0
  lol els common nigga hate sleep  summer bird,0
 thompsonera hannahalise null bruh aliv that han bitch  well fbd ,0
 hoe wait got  make sextap chile  oh ,0
 im rich dave chappell voic sign mlb ped  say bitch pussi,0
   bitch get outta dumb   ,0
 wulf bitch  thank  ,0
 like pictur get follow ass bitch ,0
 need  order two true religion one lol,1
 might fuck around fuck yo bitch  eat ass steal youll real ass nigga,0
 weather need flag today tri  zip bitch  yessssirrrrr,0
 day unblock becom man wont happen  idisrespecthoez lol,0
  dreamgirl mckee  bet wooonnnttt stick dat hoe,0
 sleep guy doesnt mean gonna fuck trust  your bitch deni pussi,0
  real  that wat ya bitch said finish ,0
 burnt pussi lip    gal blue throw ,0
 bad bitch bad start talk  preach,0
 uncl charli got thru lip ,1
 twitter rapper dm trash link ,1
 lanc stevenson gone leav  trash anyway,1
   hoe dick  learn best,0
 lot though attitud pure  swirltheworld,1
  sit shit dnt sing hoe  ,0
  though  realli hoe  u dummi take pic,0
 im pussi honey im  ,0
 sexi bitch hope bout ,0
 foreskin go circumcis  foreskin fairi take put pillow,1
 yall confus day  somebodi put hoe dress,0
 major news feed peopl argu mean redneck ,0
 hoe without sex ask girl text alotta nigga ,0
 im pro lose follow peopl cant handl excess use work  mine caus say fuck,0
  repost   kush blunt convo simpl mind ho made pic bet,0
 couldnt trust homi could trust  cant lol,0
 brah wiz cheat   hair like dyke uh duh,1
 hoe control ,0
 howard elbow bosh bosh fight  dont got mcbob bird ud,1
 im drunk im bout  ride,0
 versac versac talk shit twitter bitch block ,0
 ginobl drop bitch like delta  ,0
 clingi girlfriend best  stop lie hoe bro shit annoy,0
 eliot  mmmmmether,0
 bitch bad shes puerto rican  song,0
 thompsonera pretti boy  thank faggot,0
 inning half away alex rodriguez elig play thought yanke  omg feel ulcer,1
 brooklyn bound wit money feelin like yung jeezi bitch   lmaoooo,0
  maxnostalgia  bitch ima shake til cant nomo,0
  fuck ugli lol show  bitch fuck u,0
  lol  cool son know grandma bald  got teeth hoe ,0
  mo bitch special ed darlen backatown  gn,0
   cant fit small ass street  know happen last time onyur st ,0
 go dumb  bitch sad,0
 fuck   bitch want fight yo dawg ass,0
 yall tl need sleep yall got school  bitch got straight ion need go ,0
 dont een tryna disrespect say bitch term like bruh ,0
 phenomenalro gone leav ,0
 next time see bitch im beat ass job  lol,0
  fuck bitch  get mi hous ,0
 bad bitch thing like ,0
 vintagemonro justdoitslow aint bundl soooo  bitch happi host,0
 yu cant get money yu silli ,0
 niggaz bitch hide behind gang aint   ,0
 vintagemonro dont say shit els  stfu  lot twitter shit come see,0
 nigga talk bitch ,0
 littl stupid ass bitch aint fuckin ,0
 seriousle aint gone lie amp old head say see  nah retard,0
 lmao  amp aero sound young af talk bout hoe n weed n  finesseiam brah gotta listen shit,0
 nigga  long ass monkey arm make best cuddl buddiesso  ahaha femal told ,0
 sometim hate az amp sometim love depend time year  amp dumb bitch live,0
 dude shave without athlet purpos gay  your retard,0
  hes eat cuz hes women cant cook  u gotta get rid hoe,0
 im go miss bitch much   far right rest ol girl booti yall funni shit,0
 bitch fat ass  way live u young shit gonna get old tho lot dent,0
 iamkiddphila  marcus bitch ass heartofahustlah aint loyal team hop ass  ,0
 hoe fax  type yo bitch number googl see pop back pagethank  ,0
 told never fold amp never sell solethey told yu stay school   autocorrect ho,0
 adriennebailon bitch u tri  u deserv everi foul word came chris mouth  bye ,0
 one last shot love shit im dog  drakelisten,0
  negro wear size    still grow,0
  what good  gym look hoe hit u later,0
 open starburst candi get  yellow  lmao bruh,1
 birthday weekend start  shut yo hoe ass,0
 bitch nigga pay hoe lay  relax one night youll pay stay hoe,0
 wardrob consist most leg yous  guilti,0
  mall yo bitch yo money im get somethin ,0
 eat lot proteineat lot  whole ass,0
 im jake ,0
 live gay cant afraid two black dick butt fuck queer,0
 lot male need dress real men halloween sinc yall act like bitch  ,0
 want littl bitch ima treat like littl ,0
 water polo fuck hard  yeah your pussi,0
 satisfiedx troyi edward oss   bitch realiti,0
 kudabrazyy old  hoe,0
 love song john doe  mirandawigley  faggot,0
 hate bitch talk shit like clear  like bitch wit da red door ,0
 got done last final im walkin around campus like  queer,0
 well im go sleep  fag,0
 mmmh daili  stori via  exmoshow yellow amp romyrav luv bling,1
 evn hoe silenc   want respect,0
 fuck good trip even  good dick make bitch go crazi,0
  mani hoe that ,0
 photograph doesnt back stori start pussi  cantknockthahussl,0
 ive sound like fag last day  emot inspir ,0
 imaddictedto girl w fat pussi slim waist fat ass n innoc  truuuuuu,0
 seminol redskin  tribe got agreement themfsu pay use name,0
 pussi wet  ,0
 dammn weed pothead annoy af  weed pot thing faggot,0
 joelxmontoya im dream    must fuck ,0
 skinnybe lmao bitch listen gospel music w liquor hand  cri,0
 amanda bitch ass eva cheat fizz fine ass ion  there nigga look thought yall knew ,0
 amp feel disrespect bitch tri suck dri lip ,0
 yall bitch switch roo nigga  hell,0
 rt  yall hype bread loaf chick im  dyke rapper,0
 cowboy win game regular season get playoff trash af  hate ass nigga,0
  bitch realli  got hoe,0
 nigga want good girl still wanna fuck hoe aint gone work gotta pick  boy stfu,0
 splash onna bitch wednesday ,0
 vintagemonro damn  swear lmao,0
 mom  dont call girl bitch that somebodi daughtersisterniecem  somebodi bitch ,0
 white kid favorit  call peopl nigger   shoot ,0
 smh bitch hater  dare blackgirl jealousi  yooo loool,0
 throw lamp bitch need lighten  true dat,0
 use  mx  b measur slope ass  ,0
 way fuck ur bitch  ,0
 way fuck ur bitch  ,0
  brother ,0
 dnt blame nigga femal see ya hoe ass way go listen jt money ,0
 yall bio  mine pretti good,1
 bout time  rt joebudden chick  want man want  tell bitch get bra,0
 pussi stank ,0
 rememb bro  brianlovesass  dont show peopl ,0
 uhoh got hoe lol rt verballyabrupt yall found letter car  naaah,0
 shes send nude snap chat one  guy favorit ,0
 monday whole lot better your drive vehicl white pussi uhhh get ya,0
 longer side bitch prosynd   ,0
 spit peopl show werent rais right anoth word bitch nigga  ,0
 spongebob beat bitch ,0
 relationship made two bitch dont know ,0
 everyon think your unfunni pander jizzbag automat troll  hate color folk,0
 darkskin girl ugli   ass bitch,0
 fashion world urban mean stolen black peopl ghetto us urban haha  ,1
 like bitch gotta pretti pussi loos ,0
  white girl u holla nooooo brotha go ugliest bad built hoe ever,0
  young hoe mampm pillow,0
 surviv swine flu bird flu west nile bloomberg administr ill  abort surviv cant ,1
 fyi  favorit type bitch,0
 tweet ,1
  small titti bitch pierc nippl look like  ,0
 readi blow bitch    rello,0
 whatevaittak couldnt find anyth hold hair let alon put poni  bitch said post bust ,0
 leav trash  u sick,1
  iont got  bitch thing like  im live life,0
 dumb  ,1
 tri keep bitch lay  way feel,0
 trust bitch  ,0
 wrong get bitch start talk shit ,0
 aint noth better life meet hoe full time  let benefit nigga,0
 whatevaittak boney shit right  seen em walk street ctfu crib tho lucki nig,0
 heard thigh gap way tell bitch pussi  ,0
 jennyd residinero threw hoe away also threw yo life  ,0
 tonyjetsfoo lol  hahahahahahahahahaahah deez nut bitch,0
 hate drive rain  drive deez nut botch mouth hoe,0
 opinion irrelev   sumorerun,0
 true noth shut libdog bitch like bark anyth  calledpreach truth,0
 fuck right pussi  wish dude ,0
 see bitch talk smack playground ,0
  want panda   big booti hoe ,0
 arent tho bro rt landoup hate nosey  other,0
 got money  gun  gold  bitch nd stack nigga fuck net beef shooter get  bring dat friday den,0
 bitch come hope bout slick shit yap  thuggin,0
 im finna eat  lmao,0
 girl take snap back beani  that  dollar hat  ax beani  dont let take,1
 new breed white girl  slam bitch ,0
  bitch couldnt pay get dem pregnant  fam ion see nicca poppin kid,0
 nigga want pussi aint give lie  that cool,0
  ravenkiann hahahaha bitch make fall love  ,0
 buy tattoo wife   bitch,0
 bitch say ray rice got deserv month ago want man free  ,0
  bitch like messi bun  ,0
 ask imma eat pussi ,0
 girl eat mo pussi girl shoulda  that jam,0
 leav bitchin ,0
  last night well fun  got pussi didnt ya  unfortun lol,0
 yall femal love yall bum nigga jail ,0
 lucki ashit got shawti want   niggah tryna keep,0
 khalilre aknadnry dont get bro  bae textin anoth nigger,0
 accident ate pot browni guess goe pledg drug free life  lolz  lmao colleg,1
 els think lip bite fuck  bitch bite hard put hoe,0
 kid call nigger xbox ,0
 feel im throw trash away  everyday school,1
 make u wcw amp hoe favorit  ,0
 femal know hoe realli coolest chicksal sex ,0
 game fuck yall bitch amp yall attitud  ,0
 might rt  yall femal pussi wet caus  smh,0
 say bitch bad woman good ladi  lupe,0
 oreo milk ,1
  mayb cuz put trust  bitch   mayb fuck song,0
 kobebry shut fuck fuck trash nigga work anoth  ,0
   yellow rock hard,0
  everybodi love dej  caus that  fuck kaya dat bitch,0
 live constant fear shit  well actual fuck happen sooooo ,0
 surround bad bitch cant keep  wheretheyatdo ,0
 dr gero made android  destroy da world das sum bitch nigga shit would program girl android gimm sum neck ,0
  dumb bitch award goe    that uncl sam ,0
 let girl handcuff bed thinkin gon someth freaki bitch went ,0
 pussi treat condom like car treat seatbelt kept beep u put  ,0
 djsirfreshley almost  yrs havent one gf sinc u fckn hoe  ,0
 relationship end life stop whini ,0
 codizzllee satisfiedx fck like hoe thank  ima classi   bitch im dead,0
 hate bitch come school musti  like tf walk hous stank  mama aint ,0
 jealous bitch like   dont subtweet hoe,0
 yall big braid gell babi hair havin bitch look like dashiki dont menac  ,0
 uceina nawwww hoe sittin floor damn  birthday feb  nope,0
 treslyon im dead  hoe  idk felt like flame lol,0
    go sleep ,0
   realli like like  peopl town everyon els   ,0
 better bitch ass peopl class ,0
 westsidefle kekepalm damn got wifey  back nigga  dont share hoe,0
 catch girl hoe shit behind back ,0
 find want googl yellow king  kid go,1
  wet  trav see got hoe cali send money,0
 bitch childish af  one sister wouldv crash ,0
   nigel dont think know dumb smart  shut bitch ass,0
 fuck bitch left like ,0
 justkarahn whatido yasss bitch get paid tho  long dnt act crazi,0
 half yall hoe still got nut yall babi hair  shut  ,0
 nobodi want  except bum bitch,0
 ur ex girlfriend  fr f dat hoe,0
 ladi nigga alway wanna go parti everi weekend  basic side hoe ,0
 gonna take rt  hoe gonna let come spend money ,0
 beef bitch titti look like sleep rt  what  ,0
 today long  bitch wasnt ,0
 food gt pussi pussi  food food   ,0
 swear see snow tomorrow  bruhh sound like basic white bitch,0
 typic hoe     polic  ,0
 uh excus bitch dont need   ,0
 red neck ice bucket challeng   must sip redneck,1
   smoke skate  innat ,0
 hate shit like yall bitch think that cute  cloth violat,0
 miss  pussi,0
 smoke like  backwood  cop dem bitch da box woe ,0
 adam jone homer yanke lead  monsta,1
 savanigga alreadi go  look side hoe daddi walk room,0
  u r gey af your boy im glad im close dumb  guy say love ,0
 cant stand playin ass ,0
 make weed browni  goin slide batch relo,1
 hoe love oomf  ,0
 lover  old bitch ,0
 shavonn ballet middl street last night fell  bitch wasnt ballet,0
 want pussi ,0
 nude trash gotta draw cloth back send em back ,0
 hoe like omg love new comb   thought perro,0
 vintagemonro knee  ass,0
 vintagemonro slut  whore,0
 feel like twerk  yo pussi stank ,0
 kany might first nigga success save  origin  tweet,0
  miami  hard find hoe like brain wrestl,0
 quot weezi vers im diamond rough like babi trash,1
 quot weezi  your like bitch ass aint got shit,0
 ugli af stick one rt  new avi trash  ,0
 goofi rt viridoesitt goofi nigga simp chick communiti ,0
 alway tryna degrad girlsampshit  reallypussyampass almost yall think shuuutt iittt  sometim,0
 fk im never wear headband  dont hoop like lil bitch tho,0
 aint ,0
 singl shit bore  bitch,0
 trenton gossman sexiest hillbilli ever  ,0
 colt mccoy  hes still trash,1
 cri guy thanksgiv nah bitch pick head make turkey  thank ashanni pat turkey dri,0
 good pussi make nigga  pull get thought ,0
 ate oomf   ,0
 ion care none ,0
 never seen mani perfect bitch til made twitter  ,0
 im boss ass bitch  sarahninjaginga,0
 vivalaquintaa agre eat pussi much  nasti,0
 fuck wcw dat bitch  ,0
 want bitch big boooti ,0
 trash,1
 dont like ghetto ,0
 jennif hudson lose weight anybodi fat ass ,0
 stop give nigga pussi stop actin like  true total ,0
 wanna go workout come back home lay  jerk kill two bird one stone,0
 orangutan tri sex actress julia  ,0
 ever met bitch fuck nigga pussi admit  bitch bitch,0
  singlebecaus ill find cute hoosier date next year   connorbradley,1
 made interview bitch  huh lol,0
 dont love hoe  ilovebamf ,0
 fuck bad bitch id rather good girl whos freak  time ,0
 singl af dont care your ugli   pussi,0
 dont love ,0
 tri smash pussi stank ,0
 yanke red sox scoreless play   bambino watch,1
 alfredo acev reliev ccsabathia   need go away  gas ,1
 cav trash heat trash  gotta make trade,1
 im bitch like    sorri sorri tri give hint didnt want speak idc ,0
  shut ,0
 oreo ice cream cake   ,1
  got natur mean face havin mean mug ion even knowin bitch shut fuck ,0
 want birthday femal larg  big booti hoe,0
 sister shittin hos vsamon wodeh bout dat action ,0
 lmaooo find shit funni yall hoe aint content work one nigga  bore,0
 u look like cotton picker tho rt kbthree put field work  damn dee got joke,0
  beautifulkeezi  outta order,0
  bitch lie  yess,0
 alyssa ignor bitch better text back caus im serious  u smokey,0
 im put sooooo much nut fuck mouth gts frfr  bitch yu nasti,0
 im win   bitch,0
 boy told lyssa make   yes bitch need em,0
 hoe play w like wont send babi cain niggah  messi,0
 shoot nigga shorti bitch  ,0
 iz point jealous cuz dee hoe everybodi   ,0
 oomf hoe hopper  ,0
 thing love   weed pussi life ,0
 oomf fake bitch ass nigga point blank period  awwww shittttttt,0
  lose  aint lose hide lmfao viri tryna smoke hoe   boy,0
  kyri fast bitch  look like  wish,0
 thompsonera hahaha much thotti  fear captain saveathot save hoe ,0
  happi birthday littl  bofl made laugh read ,0
 snap chat name pleas  bitch snapchatt,0
 hoe aint  aint,0
  bitch   yeah  dont know probabl parti ,0
 got giggl im fag aint gon lie lol ,0
    need lock yo ass sayin stupid shit like,0
 one like n r e c ass  ,0
 laker go trash season cant wait  ,1
 boyfriend thatll eat yo pussi day long ur da real mvp  ,0
 make salad veget bitch give break  potato salad,0
 im happi morn shave pussi cute alway set good  need dick,0
 laugh ex tryna stunt bitch forgot went know got amp dont got ,0
 wish tonight purg get  shut yo hoe ass,0
 tell yall im tri turn bayou classic drinker  bitch got id,0
  lol  rose dat nicca   never  yee trippin,0
 look nip ring cant wait chang mine   lmao,1
  happi new year  check yo clock hun got anoth hour  lil count thing,1
 bitch gotta work hard clean shit without rip  lmaosjdusubej,0
 friend insensit bitch ,0
 im tryna get snow day dick  make nicca wreck tryn pull ya ,0
 like tf bitch follow ,0
 voiceofdstreetz cuz hoe  cuz went lil rant man,0
 voiceofdstreetz wasnt hoe azz  im sniff sniff  sorri sniff sniff ,0
 satisfiedx  u mr   stop call ball,0
 ion eat cat   gay,0
  iont got type  bad bitch thing   throw ass sphere ,0
 nigga hoe man ,0
 hoe mimi said hurt hand  bitch throat ,0
  dis hoe bri fuck wet  pop dream like ,0
 voiceofdstreetz u hoe broski u gotta look dat ,0
 lil bitti  ,0
 shawti wanna charg pussi im like whoa  turnt cash use fuck free,0
 victor amp shawn leg dont hurt jigg everi damn night ,0
 lol someon told hoe sent  ,0
 bitch im weakkk vic ,0
 fuck girl  peep chang nigga squar    bitch ass,0
 nobodi care kirk bosley  care bout cousin hoe,0
 men hop feel much quicker   hop ya bitch,0
 bitch im bitch im  thug luuuuuuv,0
 phone charg backward  retard,0
 want pussi ,0
 thekaosyatti fb hoe  next time nicer  lmfao,0
 right rt kingdominicus idk one sell pussi   way high ,0
 thompsonera ahhh know smart donni  yes rt  im glad speak mind  hoe,0
 gave bitch bib sinc wanna act ,0
 im excit boosi get valentin  get vday pussi allstar weeekend pussi mardi gras,0
 dont like popey spici chicken  bitch  boa trippen,0
  wonder  oomf like want fuck would wrong  one brave  day ,0
 wonder meet dude that bitch ass nigga day  ,0
  tonyjetsfoo yeah lowkey love know hes nigga  dont love hoe,0
 im  much nigga  much hoe ,0
 jordyn stay make fun eat like littl bitch,0
 go actual surpris hard rt  n crib listen  nig  diss homi,0
 aint special niglet rt  im chill wit greg ppl walk ask take ,0
 gotta buy antislip shoe hoe wont catch ,0
  your realli cool your good basketbal zebra  ,1
  grow bitch   cute ,0
 scrappi alway reunion hella hoe  nigga lmao,0
 girlfriend dont hoe text yanno u r ,0
 dont realli anyon talk thing start go  aight hoe ass nigga,0
 whattheflocka morbidmermaid sydney  shes nigger love,0
  depress got  ,0
  still fucn ya  bitch corni,0
 go take summer bing alll fli bitch bless atl  thank ,0
 never get twitter get bitch fight nigga even femal  ,0
   fuck top lip   lilshwenda,0
 webbmadethi mane skinni bitch playin lol take weight class anoth  ,0
  webbmadethi lemm find niggaz let bitch shit yo   nigga weirdo,0
 cigarett gross half bitch smoke cigarett  gfys,0
 hate attempt make yellow light car infront stop light  want ,1
 like ,0
 nigga talk bitch day  fact,0
 whatevaittak  bitch know ,0
 fuck text  movement lmaooo  court text rub  use bitch bout tho ,0
 need find damn job  cbmari need find bitch ,0
 dont fuck youuu u lil stupid ass bitch aint fuckin wit u lil dumbass bitch aint fuckin wit  kaylamaus,0
 kid right  ill smack hoe,0
 im sarcast lil bitch love sleep ,0
 hoe aint loyal  fan damn sure   real,0
 yeah realli far alright like live whole lot hick haha,0
 im bitch ass  morbidmermaid,0
 dont trust  cant trust hoe,0
 satisfiedx stfunobodycar well know victoria secret  cocoa puff bird fuck,0
 paint brush bugatti stundentpaint  paint like one french girl,0
 whatareolli niggah  daaaaaaaam ,0
 jose fuck mean like damn bitch  fuck,0
 xotavia bitch im back home  ,0
 pacer nflcolt indystar chuckstrong goldswagg  that awesom  hoosier,1
 happi hour time best time da  nigga dont know bout happi hour hoe,0
 favorit time da day happi hour  bad bitch come ok hoe home makeup,0
 gwyneth paltrow ugli ass big bird look bitch shut fuck  ltltthat pretti much facebravo,0
 u cant  dont love hoe,0
  play great job whos retard ,0
  yall bitch pop babi like   lol,0
 finger bitch w trigger  nigga shut,0
 dora amp tabl manner  shes eat like sloppi hoe,0
  stop ,0
 demolish huge bitch   care ,0
  think alex  sorri son bitch never win us game,0
   bitch late  ion expos ,0
 feel sorri whoever use alyssa number play phone game  dumb ass hoe aint got life,0
 ill bitch bitch fandomapolog  preach,0
 bitch set hoppin like bitch get life u get beat ,0
 pussi wet gotta dri  tell busi,0
 vontethekidd when homecom  slut ,0
 asian short bed feet hang edg bed  cuddl bitch im right besid,0
   u regular nig u play  lol ima b ig  day count somethin,0
 congrat kim k great day hoe ,0
 lol mayb give nd date hoe  know work lol,0
 imma pull eat pussi ,0
 cant get pussi without lie girl  dont hate appreci,0
 daughter make wasnt hoe age  u roll tonight,0
 pussi prolli tast like heaven  ,0
 maam   everi jawn tryna pussi cop feel dont ,0
 know idgaf woman lingeri match love hairi pussi much  ,0
 let hoe tear right ,0
 want baddest bitch world right   ,0
  pineappl sale  sale  stair,0
 need ran theo theo homi rock  need free shit hoe,0
  still get pussi  hes jus  fag,0
 brianlovesass class right need headphon seventh period im serious bitch ,0
 aw omg show made cri  im pussi  realli,0
 brian stfu  twitter could retweet  make bitch slap ,0
 know u didnt hit jigga fav purs   chill ,1
 fuck  fuck dat bitch,0
 might go plaq  gone go,0
 im faggot agre,0
 virgiliolla heartbroken tx inniz ho  haha naw chill one laugh vdawg,0
 make  dont tell bitch,0
 yanke never someon wear singl digit uniform  wow show epic organ,1
 bitch stand like   want mjs smooth crimin video bad,0
 dont matter nigga alway tryna holla bitch   yall,0
  bitch   huh lol,0
 back hoe didnt want im hot ,0
 believ wiz khalifa one bald bitch get divorc ,0
 wccorosen sick trash talk cocki attitud  ref take control need,1
  twitpic selfi light color  ,1
 rt godofmilf singl mom got proven  lol fckd truuu,0
 rt jonraff hate chick say go deeper u alreadi dishin u got  ,0
 bitch wanna date flyest nigga shock hoe ,0
 ladi dude put two hand pussi start  lmaoo,0
 u get u put u offer pussi dont mad u receiv  ,0
 thing hoe say ,0
 that fav part take  album trash,1
  one want ugli nigga youv got stress   lie ,0
 whereyohussleat caymariee yall partner  that bitch cant ride solo,0
 whereyohussleat u got hoe  werd  ,0
 see everi iftheygunnedmedown tweet dis like da color bradi bunch,1
 need thank kill nigger  dis pal graduat ,0
   sorri cant straight like pull mad bitch ,0
    dont even lift pussi,0
 half tempt go outsid run phone car piec shit  pussi,0
 earli put face  bul never earli breakfast,0
 vernnotic  pussi aint go anywher,0
 want ear look like   want bitch earring lol ,0
 dont take peopl nigga bitch dont play nigga  special babi daddi  bs,0
 use fat bitch everybodi made fun look  made fun ugli ,0
  hoe,0
 pussi pussi nasti ass nigga hope get aid  bit harsh rethink statement,0
 tonybthrz cinndyyxoxo briannniloo fuck  shut roll threw,0
 im say im  stud fuck tranni wont let bitch strap muhfucka childish ,0
 freemolli voiceofdstreetz  bitch fukkin wicha fuck nigga squar  im fuck ,0
 voiceofdstreetz know pictur hoe  good knock wind boy ,0
 voiceofdstreetz noll nigga im talm bout tt juic   ion hoe em,0
 eagl fan dont except fact mcoy trash year everybodi figur spread  stopit,1
 thot bitch wanna wine amp dine like wife dont know earn ,0
 u hella gay u never  quit sub fag,0
 imjessicaaaaa vintagemonro haha bitch  ,0
 think hoe press shit  mani time ask beok,0
 hoe hoe ,0
 new  song diana well written well done  bow bitch,0
 big oleeee middl finger ,0
 peopl complain price im like bitch look like make ,0
 hate bitch amp fact oomf like  retweeettt ,0
 ginasanabria hes hoe  arent smut  lmao,0
 guy hoe day lmao dont fuck indirect caus put  whos subbin ,0
  need get laid  sike im celibatebitch like ,0
  boot  u hoe  girl take bc hoe ,0
 rico bore  boy watch hoe,0
 rico full  money hoe,0
    men biggest hoe ,0
 isnt one song blacc hollywood  except song nicki minaj triffl bitch suck,0
 whatevaittak yea ,0
 bitch come right amp get tooo comfort  never saw yo gut hate ,0
 imyungjay  bitch ass nigga fuck   lt hoe aint got manner realtalk,0
   swear ,0
 whatevaittak  trust worthi ,0
 whatevaittak cute af  believ u jus get pass trust u wit needl someon ,0
 whatevaittak lmaooo nooo  ,0
 name stefani    u hoe ,0
 bitch tri wrong one  itll go hill ,0
 peopl ever twitter bitch get mother fuckin ,0
 could write book thing hoe  way jose,0
 wccorosen bad optim royal dont twin take rosei color glass,1
 im drive ,0
 femal get irrit fast  fuck hoe,0
  lifeofbrandon bitch call yu  ,0
  well  gt job hoe,0
 rich let bitch get mad like  nigga dont think,0
 grown matur pretti ampetc goe window bitch play ,0
 kim kardashian aint look good  look better call bad bitch,0
  girl whos hoe twitter  lilthickgawdess,0
 beauti femal still find way fuck w ratchet hoe dont get  ,0
  would love parksid sport girl dress like kobe day  let see  hoe,0
 guy said hes slept  girl oh ok let puke  know girl  dude slutwhor hoe,0
 everi bitch tell act like nigga whatev fuck ,0
 whatevaittak lol bitch  cool imma get one jus trust,0
 wagggggi ryanriehl  im close dude master  that right bitch bow master ,0
 got hella ,0
 nigga get alot bitch gonna valu like someon els would your anoth one  cut,0
  luhv u  drunk bitch lol,0
 your go talk shit sister dont play pussi shit say face yo  slapabitch ,0
 one friend greet  morbidmermaid  nigger,0
 go text hoesm  ayostew,0
 scale  bitch liter  ,0
 dude fuck legend bruh fuck right pussi lmao  true legendfuck right pussi,0
 seen  pregnant bitch  look like sumo wrestler,0
 birthday  nobodi care bitch,0
 donni  ,0
 im trynna find bitch fat ,0
 lool agre  fuck show ever watch  wen simon wife hoe saddest,0
  saw ashton hard anyon care wait harri   bitch id ashton grill feel,0
 hoe feel like photo didnt get enough favorit ,0
 see mani mad hoe tl tht shit ,0
 shorti name  masika yall surpris ,0
 wifey mean pussi good right gotta go  ,0
 bro bird stay sex  daili  said look hand ,0
 tag friend suck flappi ,1
 use obamacar websit definit chang password  hahahahahah that sad boon,1
 cloth dryer im tryna dri  hoe,0
  lmao  that right  go drink warm milk go bed,0
 bitch said lie much bitch aint worth tell truth ,0
 readi anoth tat doeeee   right hoe,0
 group chat bitch call yall undercov fed  watch ,0
 whereyohussleat smh gotta grow  least know bitch want  swear ,0
 ex hit miss bullshit lol bitch  ,0
 hoe gone jam  aint throw ass bitch fuck parti ,0
 imyungjay yo mama confus  lol  hoe aint got manner,0
 hoe still shouldv ,0
 fuck look like ho look like yes ya look like  ,0
 raid nicki wig closet summer bad gal wanna fun  bitch nerv smh,1
 dont fall love  bestadvic,0
 yall nigga think hang around crib noth bitch get bread  ,0
 kimberley stori far scariest stori ive ever heard  pussi,0
 waymoflydenu fleek yo vocabulari ,0
 fake bitch dont want ,0
 shine hoe  look babi daddi,0
 uceina realli hate poli  man,0
 got   got bitch,0
 bitch bitch ms bitch ,0
  femal popul need stop ,0
  ya nigga play fuck nigga play  bitch cant fuck wit ,0
 hung boy bathroom  st domin  outlawdipp silli bitch,0
 dont read receipt  bitchyest bitch ever,0
  dat bird  birdcag  byyyyyyrrrrrrrrrrrrr bitch ,0
 paperchaysin aye hoe start come dont forget put  wont  ,0
 paperchaysin wont herd hoe  lmao hope shit schress,0
 hoe associ real  yes,0
 yall like  want love like rashad amp new new shit yall alreadi got one lie ass hoe  ,0
 cant talk right got pussi ,0
 uceina singl cuz hoe left good one taken  femal tl that singleyou ,0
 im back caus dont wanna see boy lose trash ,1
 relationship idea   girl trash love live,0
 kmichell ananconda dont want none unless u clean shitti bun hun ,0
 kmichell shitti pussi ,0
 kmichell ur pussi smell like dumpster juic  wow ,0
 kmichell mean niggaz shot ill give  u let nigga smell pussi dont smell like  ,0
 k michell pussi smell like  ,0
 vertrellcart  respect,0
 fruit modern yanke farm system  joba nut,1
 fat chanc youll ever catch drink  bitch,0
 vomitdatruth im outsid hous  bitch,0
 vomitdatruth lmfaooooo u  im use shit,0
  wtf  aint come practic,0
 never worri next bitch alway worryin next meal im tryna fuckin eat fuck talkin  ,0
 uceina  damn alway tweet halfass tweet  meant say  still dont make ,0
 amp wealthi rt  aunt said im handsom fuck ,0
 tend sens bitch older that ,0
 hoe wanna fight  right,0
 hoe tbh highest ,0
